"","LS_cor","LS_beta","LS_R","GPA_cor","GPA_beta","GPA_R","ABS_cor","BAS_beta","ABS_R"
"Openness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"O1",0.0632719719125366,-0.10027048256143,NA,-0.0138258281352487,-0.173774396894772,NA,0.0118551048373978,0.172258400441323,NA
"O2",0.17636018707161,0.0759752012462683,NA,0.135179696839804,0.0957086379054859,NA,-0.142927501535685,-0.100720218301913,NA
"O3",0.224589150642009,0.124430071641738,NA,0.144380678810155,0.110712945321797,NA,-0.147178629208229,-0.103668263496957,NA
"O4",0.0716083462438294,-0.0225577564348616,NA,0.15624820799059,0.120190361173347,NA,-0.162024917923997,-0.127827996696582,NA
"O5",0.0393495909604591,-0.097554384696519,NA,0.0724853595227388,-0.0608358835656758,NA,-0.0675139403841816,0.07771817733091,NA
"O6",0.133921115199023,-0.0569553251423342,NA,0.202886433490839,0.203721858272751,NA,-0.199257219596152,-0.184088654177504,NA
"O7",0.211592673054492,0.110888380657395,NA,0.134529733754693,-0.0253097032284182,NA,-0.147181860983839,0.00434253699825496,NA
"O8",0.176406745655384,0.121658628236044,NA,0.0797997142651659,0.0122945885845484,NA,-0.0901478556863705,-0.0224808242361167,NA
"O9",0.238030329053604,0.16633357573613,NA,0.067912694728746,-0.0742138093559443,NA,-0.0778275089064237,0.0627559715483586,NA
"Domain score1",0.199827197950731,NA,0.0951407181032519,0.164852830985701,NA,0.0679288762492397,-0.171063277948486,NA,0.0687192883745583
"Conscientiousness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1",0.0332952603140694,0.0189130078218824,NA,0.0183562829566267,0.00448613905655086,NA,-0.0109548761690125,0.00435387793988794,NA
"C2",0.271774243430852,0.161684427868196,NA,-0.0909000027067086,-0.0835676187855995,NA,0.0742813711721131,0.0742253809830719,NA
"C3",0.193774554546539,0.0795548908357818,NA,-0.0369788065950466,-0.0414977185925555,NA,0.0244292764710311,0.0424423260078757,NA
"C4",0.201857444102101,0.0128729537258753,NA,0.0173678169674119,-0.0343057221027046,NA,-0.0292334225670652,0.0329613005755987,NA
"C5",0.282899542903649,0.128845468438124,NA,0.00148715054989269,0.0344890315053421,NA,-0.0170155619369888,-0.0383097958388913,NA
"C6",0.232805222789698,0.100508530771565,NA,0.105524215798801,0.182799721749431,NA,-0.120274343244011,-0.191230032805168,NA
"C7",0.111741529870967,-0.0740986428457092,NA,-0.0356071159720023,-0.00377474972218251,NA,0.0229907555854119,0.00162917951808927,NA
"C8",0.100516658181195,-0.045473660972866,NA,-0.00555255293377112,-0.0337291846941215,NA,0.00192260629650548,0.0379298040719619,NA
"C9",0.231203589696278,0.0734265172936744,NA,-0.0609784921003931,-0.0814447284954544,NA,0.0439509789038346,0.0721986725506825,NA
"Domain score2",0.302671737737551,NA,0.115519877631407,-0.0164791268786388,NA,0.021026323192783,-0.00146931271464172,NA,0.0202446869965767
"Extraversion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1",0.255025473303245,0.0914604724321749,NA,0.0377987093905496,-0.00364773616690748,NA,-0.0533767518644495,-0.00365144516438402,NA
"E2",-0.00334792601240319,-0.03545364435608,NA,-0.0927617884853256,-0.126948549871618,NA,0.107094036111217,0.14291745479445,NA
"E3",0.199879895579323,0.0600674305607145,NA,0.00290509519913247,-0.0290061144649975,NA,-0.0277833350489592,0.00598213085121585,NA
"E4",0.492660549618864,0.513394959633921,NA,0.0252861752517053,-0.044814340579296,NA,-0.038218033370474,0.0348493077957141,NA
"E5",0.0902623391796949,-0.0186707419587396,NA,0.00884258245265062,-0.0290796820235314,NA,-0.00662805283592527,0.0311724587926047,NA
"E6",0.110965695423461,-0.0501211837844094,NA,0.0808674643570171,0.0643329961854735,NA,-0.0866073357425953,-0.0628811872303611,NA
"E7",0.164261731215145,-0.0591093208123324,NA,0.0654701658746863,0.0827130049698091,NA,-0.0693946484044653,-0.0842324197232993,NA
"E8",0.222121988267582,-0.0600157275285192,NA,0.0945670827981233,0.120960328043411,NA,-0.104301714366943,-0.121183135456392,NA
"E9",0.249439468162746,0.0193346309751094,NA,-0.0263592218283379,-0.0439322431570285,NA,0.0243077159781842,0.0532807053074304,NA
"Domain score3",0.325916367306817,NA,0.253597683745823,0.0391471430580323,NA,0.0211595364584686,-0.0508316084964228,NA,0.0268746171873916
"Agreeableness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1",0.159299989033614,0.00441204854792213,NA,0.0791298831958921,0.0329858057420972,NA,-0.0903183747928491,-0.0391728927352613,NA
"A2",0.194272651068702,0.0582680915633285,NA,0.0740991995249124,0.0964168386617153,NA,-0.0866533559355608,-0.105093513505288,NA
"A3",0.0255934595390102,-0.128614834771967,NA,-0.0294525768193606,-0.0741869326254546,NA,0.0340428661103745,0.0914879306914085,NA
"A4",-0.0502151181144712,-0.0787795907191199,NA,0.104957208616869,0.102209681632013,NA,-0.105012718476082,-0.101643381618951,NA
"A5",-0.178600031908759,-0.162831352407323,NA,0.0309787306672885,0.0292836627948332,NA,-0.0207574316807072,-0.0198894614162362,NA
"A6",0.2529608579182,0.234368053931648,NA,0.0740328140694026,0.0156974438593767,NA,-0.0854876238819339,-0.0245565823793139,NA
"A7",0.12336244665407,0.0585571340191251,NA,0.0661936554856475,0.0604400880962575,NA,-0.0765590228603023,-0.0713902786687553,NA
"A8",0.140481782964081,0.0427827683158364,NA,0.0352065451975472,-0.0375577265431469,NA,-0.0364913949417088,0.0457349289552703,NA
"Domain score4",0.157154058076719,NA,0.104350686955381,0.100949522694346,NA,0.016502387075143,-0.108350661838837,NA,0.0218890473663573
"Neuroticism",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N1",0.224933110509233,0.0233957502001766,NA,0.0916554454311279,0.170624680135461,NA,-0.107535470835637,-0.185692064523575,NA
"N2",0.5305391752519,0.59105555808438,NA,-0.0153804847984394,0.0659285705821866,NA,0.00460131054150949,-0.0634348928085662,NA
"N3",0.309267512641571,-0.0396944004490911,NA,-0.113747051091947,-0.210063805663048,NA,0.101837445111828,0.197743020024212,NA
"N4",0.249703642874592,0.0933392865276586,NA,0.0310264383030357,0.0508860853602698,NA,-0.0341292349259357,-0.0481863210211139,NA
"N5",0.269155987436167,-0.0473667729462637,NA,-0.0147363239221406,0.0201078462133761,NA,-0.00512125377992238,-0.0400846587488557,NA
"N6",0.176330334367252,-0.0741689998044693,NA,-0.0397250374512379,0.00791326220490474,NA,0.0414126554972886,0.00548750356976721,NA
"N7",0.205502924745372,-0.0375043538078972,NA,-0.0960813063262228,-0.0982578515823473,NA,0.0949221324168702,0.110499843786517,NA
"Domain score5",0.401207167747654,NA,0.289438372500851,-0.0283932124650323,NA,0.0396034541600605,0.0160446009857654,NA,0.0430898328024789
