"","LS_cor","LS_beta","LS_R","GPA_cor","GPA_beta","GPA_R","ABShs_cor","ABShs_beta","ABShs_R"
"Openness",NA,NA,NA,"NA/NA","NA/NA","NA/NA","NA/NA","NA/NA","NA/NA"
"O1",0.063,-0.1,NA,"-0.013/0.03","-0.138/-0.016","NA/NA","0.001/0.003","0.168/0.009","NA/NA"
"O2",0.176,0.076,NA,"0.092/0.011","0.047/-0.002","NA/NA","-0.067/0.026","-0.034/0.103","NA/NA"
"O3",0.225,0.124,NA,"0.144/0.087","0.072/0.182","NA/NA","-0.16/-0.06","-0.153/-0.062","NA/NA"
"O4",0.072,-0.023,NA,"0.152/-0.048","0.126/-0.107","NA/NA","-0.06/-0.063","-0.029/-0.071","NA/NA"
"O5",0.039,-0.098,NA,"0.041/0.107","-0.069/0.159","NA/NA","-0.008/0.045","0.089/0.096","NA/NA"
"O6",0.134,-0.057,NA,"0.1/0.008","0/-0.015","NA/NA","-0.068/0.013","0.073/0.1","NA/NA"
"O7",0.212,0.111,NA,"0.096/-0.037","-0.052/-0.14","NA/NA","-0.099/-0.1","-0.077/-0.21","NA/NA"
"O8",0.176,0.122,NA,"0.121/0.039","0.1/0.029","NA/NA","-0.027/0.017","0.045/0.027","NA/NA"
"O9",0.238,0.166,NA,"0.203/-0.017","0.184/-0.054","NA/NA","-0.193/-0.053","-0.174/-0.014","NA/NA"
"Domain score1",0.2,NA,0.095,"0.148/0.031","NA/NA","0.065/0.026","-0.097/-0.027","NA/NA","0.026/0.019"
"Conscientiousness",NA,NA,NA,"NA/NA","NA/NA","NA/NA","NA/NA","NA/NA","NA/NA"
"C1",0.033,0.019,NA,"0.061/-0.026","0.06/-0.017","NA/NA","-0.065/0.071","-0.07/0.086","NA/NA"
"C2",0.272,0.162,NA,"0.115/-0.104","-0.014/-0.047","NA/NA","-0.105/-0.167","0.035/-0.011","NA/NA"
"C3",0.194,0.08,NA,"0.133/-0.065","0.072/-0.051","NA/NA","-0.137/-0.227","-0.06/-0.098","NA/NA"
"C4",0.202,0.013,NA,"0.164/-0.068","-0.009/-0.029","NA/NA","-0.227/-0.261","-0.104/-0.166","NA/NA"
"C5",0.283,0.129,NA,"0.219/-0.151","0.148/-0.203","NA/NA","-0.188/-0.264","0.017/-0.12","NA/NA"
"C6",0.233,0.101,NA,"0.159/-0.011","0.034/0.099","NA/NA","-0.183/-0.184","-0.005/0.029","NA/NA"
"C7",0.112,-0.074,NA,"0.14/-0.013","0.061/0.09","NA/NA","-0.202/-0.195","-0.151/-0.011","NA/NA"
"C8",0.101,-0.045,NA,"0.115/0.021","0.027/0.098","NA/NA","-0.141/-0.063","-0.035/0.055","NA/NA"
"C9",0.231,0.073,NA,"0.133/-0.084","0.005/-0.028","NA/NA","-0.226/-0.237","-0.136/-0.099","NA/NA"
"Domain score2",0.303,NA,0.116,"0.233/-0.09","NA/NA","0.048/0.026","-0.274/-0.288","NA/NA","0.052/0.108"
"Extraversion",NA,NA,NA,"NA/NA","NA/NA","NA/NA","NA/NA","NA/NA","NA/NA"
"E1",0.255,0.091,NA,"0.109/0.045","0.099/0.06","NA/NA","-0.041/-0.03","-0.022/-0.042","NA/NA"
"E2",-0.003,-0.035,NA,"-0.14/0.082","-0.174/0.078","NA/NA","0.116/0.22","0.11/0.226","NA/NA"
"E3",0.2,0.06,NA,"0.056/0.002","0/-0.005","NA/NA","-0.001/0.005","0.032/0.086","NA/NA"
"E4",0.493,0.513,NA,"0.065/-0.005","0.011/-0.023","NA/NA","-0.084/-0.066","-0.102/-0.04","NA/NA"
"E5",0.09,-0.019,NA,"0.005/0.029","0.001/-0.001","NA/NA","0.01/0.076","-0.006/0.049","NA/NA"
"E6",0.111,-0.05,NA,"0.057/-0.01","0.037/-0.057","NA/NA","-0.011/0.022","-0.021/-0.024","NA/NA"
"E7",0.164,-0.059,NA,"0.023/0.042","0.014/0.026","NA/NA","0.13/0.046","0.233/0.025","NA/NA"
"E8",0.222,-0.06,NA,"0.053/0.042","-0.007/0.053","NA/NA","-0.075/0.005","-0.094/0.044","NA/NA"
"E9",0.249,0.019,NA,"0.059/-0.036","0.04/-0.073","NA/NA","-0.08/-0.174","-0.104/-0.226","NA/NA"
"Domain score3",0.326,NA,0.254,"0.05/0.037","NA/NA","0.028/-0.003","0.002/0.022","NA/NA","0.026/0.081"
"Agreeableness",NA,NA,NA,"NA/NA","NA/NA","NA/NA","NA/NA","NA/NA","NA/NA"
"A1",0.159,0.004,NA,"0.12/-0.028","-0.034/0.054","NA/NA","-0.081/-0.088","0.054/-0.012","NA/NA"
"A2",0.194,0.058,NA,"0.168/-0.048","0.115/-0.056","NA/NA","-0.061/-0.145","-0.034/-0.034","NA/NA"
"A3",0.026,-0.129,NA,"0.015/-0.013","-0.108/-0.005","NA/NA","0.063/-0.099","0.141/0.003","NA/NA"
"A4",-0.05,-0.079,NA,"0.093/-0.116","0.084/-0.13","NA/NA","-0.138/0.024","-0.069/0.001","NA/NA"
"A5",-0.179,-0.163,NA,"-0.026/0.024","-0.017/0.048","NA/NA","-0.006/0.047","0.017/0.017","NA/NA"
"A6",0.253,0.234,NA,"0.168/-0.035","0.091/0.037","NA/NA","-0.164/-0.096","-0.123/-0.045","NA/NA"
"A7",0.123,0.059,NA,"0.165/-0.006","0.135/0.029","NA/NA","-0.135/-0.173","-0.178/-0.135","NA/NA"
"A8",0.14,0.043,NA,"0.145/-0.126","0.058/-0.139","NA/NA","-0.112/-0.082","-0.039/-0.012","NA/NA"
"Domain score4",0.157,NA,0.104,"0.201/-0.078","NA/NA","0.057/0.018","-0.154/-0.148","NA/NA","0.029/0.019"
"Neuroticism",NA,NA,NA,"NA/NA","NA/NA","NA/NA","NA/NA","NA/NA","NA/NA"
"N1",0.225,0.023,NA,"0.111/-0.086","0.134/-0.134","NA/NA","-0.047/-0.159","-0.08/-0.08","NA/NA"
"N2",0.531,0.591,NA,"0.091/-0.043","0.135/-0.114","NA/NA","-0.062/-0.134","-0.035/-0.035","NA/NA"
"N3",0.309,-0.04,NA,"-0.012/0.073","-0.112/0.215","NA/NA","0.008/-0.046","0.051/0.051","NA/NA"
"N4",0.25,0.093,NA,"0.031/0.006","0.016/0.023","NA/NA","-0.138/0.031","-0.158/-0.158","NA/NA"
"N5",0.269,-0.047,NA,"0.079/-0.051","0.057/-0.078","NA/NA","-0.095/-0.173","-0.142/-0.142","NA/NA"
"N6",0.176,-0.074,NA,"-0.055/0.028","-0.109/-0.005","NA/NA","0.035/-0.024","0.097/0.097","NA/NA"
"N7",0.206,-0.038,NA,"-0.001/0.041","-0.034/0.055","NA/NA","0.068/-0.108","0.163/0.163","NA/NA"
"Domain score5",0.401,NA,0.289,"0.048/-0.007","NA/NA","0.03/0.025","-0.048/-0.118","NA/NA","0.024/0.024"
